title,release_date
Stronger,2017-09-22
In the Line of Fire,1993-07-08
Five,2016-03-30
The Walk,2015-09-30
ParaNorman,2012-08-03
Bronson,2009-03-13
Mission: Impossible,1996-05-22
Ocean's Eight,2018-06-07
Big Eyes,2014-12-24
The Fast and the Furious,2001-06-22
Revolutionary Road,2008-12-19
The Host,2006-07-27
Anyone But You,2023-12-21
Trick 'r Treat,2007-12-09
A Goofy Movie,1995-04-07
Animal House,1978-07-28
Tom Clancy's Without Remorse,2021-04-29
A Beautiful Day in the Neighborhood,2019-09-07
Running Scared,2006-01-06
Trouble with the Curve,2012-09-21
Mamma Mia!,2008-07-03
Stan & Ollie,2018-12-28
Licorice Pizza,2021-11-26
Fresh,2022-03-03
Fantasia 2000,2000-01-01
It's Kind of a Funny Story,2010-10-08
Cars,2006-06-08
Lightyear,2022-06-15
Shaun the Sheep Movie,2015-02-05
Sinbad: Legend of the Seven Seas,2003-07-02
The Odd Life of Timothy Green,2012-08-15
Extremely Loud & Incredibly Close,2011-12-25
A Bug's Life,1998-11-25
Tolkien,2019-05-03
Us,2019-03-14
mother!,2017-09-13
Agora,2009-05-17
Beauty and the Beast,2017-03-16
In Time,2011-10-27
Dangerous Minds,1995-08-11
M*A*S*H,1970-02-18
News of the World,2020-12-25
The Place Beyond the Pines,2013-03-20
Frailty,2002-04-12
The Descent,2005-07-08
Addams Family Values,1993-11-19
Plane,2023-01-12
Chocolat,2000-12-22
Kingsman: The Golden Circle,2017-09-20
Frankenweenie,2012-10-04
Brawl in Cell Block 99,2017-09-23
Before I Fall,2017-03-02
The Foreigner,2017-09-28
Ghosted,2023-04-18
Jerry Maguire,1996-12-13
The Gray Man,2022-07-13
Evil Dead Rise,2023-04-12
Ruby Red,2013-03-14
The People vs. Larry Flynt,1996-12-25
The Secret Life of Pets 2,2019-05-24
Charlie St. Cloud,2010-07-30
RocknRolla,2008-09-04
Hotel Transylvania,2012-09-20
Kingdom of Heaven,2005-05-03
The Queen,2006-09-15
El Camino: A Breaking Bad Movie,2019-10-11
The Witch,2016-02-19
Ronin,1998-09-25
Sunshine,2007-04-05
The Mask,1994-07-29
Love Hard,2021-11-05
Cashback,2007-01-17
White Chicks,2004-06-23
Civil War,2024-04-10
The Princess Diaries,2001-08-03
Homefront,2013-11-12
At Eternity's Gate,2018-11-15
Four Lions,2010-05-07
Rescue Dawn,2006-09-09
The Forever Purge,2021-06-30
Sleeping Beauty,1959-02-17
The Lion King II: Simba's Pride,1998-10-24
"I, Robot",2004-07-15
Die Hard 2,1990-07-03
Set It Up,2018-06-15
Shot Caller,2017-07-13
T2 Trainspotting,2017-01-27
Last Tango in Paris,1972-12-15
If Beale Street Could Talk,2018-12-14
Passengers,2016-12-21
Just Like Heaven,2005-09-16
Uncharted,2022-02-10
The Best Exotic Marigold Hotel,2012-02-23
Soylent Green,1973-04-18
Water for Elephants,2011-04-15
Insidious,2011-03-31
Insomnia,2002-05-24
Blue Valentine,2010-12-26
Zombieland: Double Tap,2019-10-09
Pearl Harbor,2001-05-21
Shame,2011-10-02
The Bélier Family,2014-12-17
Runaway Jury,2003-01-16
Serendipity,2001-10-05
An Education,2009-10-29
"Definitely, Maybe",2008-02-08
Ant-Man and the Wasp,2018-07-04
Pokémon: The First Movie,1998-07-18
The Mummy,1999-04-16
Mona Lisa Smile,2003-12-19
The Fountain,2006-11-22
Pokémon Detective Pikachu,2019-05-03
The Witches,1990-05-25
Valkyrie,2008-12-25
Iron Man 3,2013-04-18
Desperado,1995-08-25
Odd Thomas,2013-01-29
Despicable Me 2,2013-06-26
The Mist,2007-11-21
9,2009-08-19
Don't Look Now,1973-01-18
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020-02-05
Swiss Army Man,2016-06-24
Batman Returns,1992-06-19
Sink or Swim,2018-10-24
Triangle,2009-10-16
Crazy Heart,2009-12-16
The Time Traveler's Wife,2009-08-14
Pocahontas,1995-06-14
Robot & Frank,2012-08-16
The Crimson Rivers,2000-09-27
Mr. Brooks,2007-06-01
Unleashed,2005-02-02
Layer Cake,2004-09-30
Cold Mountain,2003-12-24
War Dogs,2016-08-18
Step Up Revolution,2012-07-26
Black Adam,2022-10-19
Hostiles,2017-12-22
The Croods,2013-03-15
Dogma,1999-11-12
Sicario: Day of the Soldado,2018-06-27
No Escape,2015-08-26
Suspiria,2018-10-26
Divergent,2014-03-14
Basic Instinct,1992-03-20
Kung Fu Panda 3,2016-01-23
Victoria & Abdul,2017-09-13
Borg vs McEnroe,2017-09-08
Life As We Know It,2010-10-02
Spy Game,2001-11-18
Meet the Robinsons,2007-03-23
Madagascar,2005-05-25
Jumanji: The Next Level,2019-12-04
Locke,2014-04-10
My Spy,2020-01-09
The Peanuts Movie,2015-11-05
Snowpiercer,2013-08-01
Youth,2015-05-20
Little Shop of Horrors,1986-12-19
Tremors,1990-01-19
The Kissing Booth 3,2021-08-11
Death at a Funeral,2007-08-17
Clerks II,2006-07-21
The Good Nurse,2022-10-19
Disobedience,2018-04-24
Endless Love,2014-02-12
Pacific Rim,2013-07-11
The Adventures of Tintin,2011-10-24
Summer of 84,2018-08-10
The Hunger Games: Mockingjay - Part 2,2015-11-18
Rocky III,1982-05-28
Broken Flowers,2005-07-31
The Outpost,2020-06-24
The Hitman's Bodyguard,2017-08-16
The Horse Whisperer,1998-02-01
No Exit,2022-02-24
Aquaman,2018-12-07
The Jacket,2005-03-04
GoldenEye,1995-11-16
King Kong,2005-12-12
The Frighteners,1996-07-18
Highlander,1986-03-07
Leap Year,2010-01-08
Hunter Killer,2018-10-19
Cloud Atlas,2012-10-26
Independence Day,1996-06-25
Perfect Sense,2011-09-29
The War of the Roses,1989-12-08
Alive,1993-01-15
Looper,2012-09-26
21 Jump Street,2012-03-14
A Christmas Carol,2009-11-04
Boss Level,2021-02-19
American Made,2017-08-18
Three Thousand Years of Longing,2022-08-24
Focus,2015-02-25
Frank,2014-05-09
Coming to America,1988-06-29
Hellraiser,1987-09-11
The Professor,2018-05-17
Hidalgo,2004-02-04
Project X,2012-03-01
Gomorrah,2008-05-16
Deepwater Horizon,2016-09-28
Blended,2014-05-21
Step Up,2006-08-11
The Fate of the Furious,2017-04-12
Maverick,1994-05-20
Mulan,2020-09-04
Kids,1995-07-28
Blood Red Sky,2021-07-23
Enemy,2014-03-14
Tinker Bell,2008-09-11
The X Files,1998-06-19
Filth,2013-09-23
Asterix: The Secret of the Magic Potion,2018-05-12
Up in the Air,2009-12-04
The Dig,2021-01-14
Rocky Balboa,2006-12-20
Hotel Transylvania 3: Summer Vacation,2018-06-28
Shakespeare in Love,1998-12-11
The Last Voyage of the Demeter,2023-08-09
Fences,2016-12-16
The Jungle Book,2016-04-07
