_id,id,year,title,genres,actors,director,plot,release_date,rotten_tomatoes,poster,runtime,imdb_rating
66d7adc0c6dc28fe94973e2a,tt0071315,1974,Chinatown,"['Drama', 'Mystery', 'Thriller']","['Jack Nicholson', 'Faye Dunaway', 'John Huston']",['Roman Polanski'],"In 1937 Los Angeles, private investigator Jake 'J.J.' Gittes specializes in cheating-spouse cases. His current target is Hollis Mulwray, high-profile chief engineer for the Los Angeles Department of Water and Power, whose wife suspects him of infidelity. In following Mulwray, Gittes witnesses some usual business dealings, such as a public meeting for construction of a new dam to create additional water supply for Los Angeles, as fresh water is vital to the growing community during the chronic drought; Mulwray opposes the dam. Eventually Gittes sees Mulwray meeting with an unknown young woman who isn't his wife. Once news of the supposed tryst between Mulwray and this woman hits the media, additional information comes to light that makes Gittes believe that Mulwray is being framed for something and that he himself is being set up. In his investigation of the issue behind Mulwray's framing and his own setup, Gittes is assisted by Mulwray's wife Evelyn, but he thinks she isn't being forthright with him. The further he gets into the investigation, the more secrets he uncovers about the Mulwrays' professional and personal dealings, including Mulwray's former business-partnership with Evelyn's father, Noah Cross. The identity of the unknown woman may be the key to uncovering the whole story.",20 Jun 1974,98%,https://m.media-amazon.com/images/M/MV5BMjJkMDZhYzItZTFhMi00ZGI4LThlNTAtZDNlYmEwNjFkNDYzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,130 min,8.1
66d7adc5c6dc28fe94973e38,tt0071129,1973,Amarcord,"['Comedy', 'Drama']","['Magali Noël', 'Bruno Zanin', 'Pupella Maggio']",['Federico Fellini'],"One year in a small northern Italian coastal town in the late 1930s is presented. The slightly off-kilter cast of characters are affected by time and location, the social mores dictated largely by Catholicism, and the national fervor surrounding Il Duce aka Benito Mussolini and Fascism. The stories loosely center on mid-teen Titta and his household, including his adolescent brother, his ever-supportive mother who is always defending him against his father, his freeloading maternal Uncle Lallo, and his paternal grandfather who slyly has eyes and hands for the household maid. Other townsfolk include: town beauty Gradisca, who can probably have any man she wants but generally has none as most think she out of their league; Volpina, the prostitute; Giudizio, the historian; a blind accordionist; and an extremely buxom tobacconist. The several vignettes presented include: the town bonfire in celebration of spring; life at Titta's school with his classmates and teachers; Titta's father Aurelio at his beachfront construction worksite and his and his workmates' encounter with Volpina; Titta's confessions to the priest about his burgeoning sexuality; Aurelio being questioned by authorities about his anti-Fascist leanings; a fantasy sequence at the luxurious Grand Hotel; a family outing with Aurelio's institutionalized brother Teo; many townsfolk embarking on a sail to witness a marine event passing by their town; an annual car race; Titta's fantasy encounter with the tobacconist after closing hours coming true; events surrounding the big snowfall that year, including a family tragedy; and an event centering on Gradisca and her future.",19 Sep 1974,87%,https://m.media-amazon.com/images/M/MV5BZTUyYTBkZTgtZTg4MC00MjIzLWJjZDgtN2M4YWRkNGY5MDlmXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,123 min,7.8
66d7adcdc6dc28fe94973e4c,tt0072431,1974,Young Frankenstein,['Comedy'],"['Gene Wilder', 'Madeline Kahn', 'Marty Feldman']",['Mel Brooks'],"A young neurosurgeon (Gene Wilder) inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback called Igor, a pretty lab assistant named Inga and the old housekeeper, frau Blucher -iiiiihhh!-. Young Frankenstein believes that the work of his grandfather is only crap, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind...",15 Dec 1974,95%,https://m.media-amazon.com/images/M/MV5BMTEwNjg2MjM2ODFeQTJeQWpwZ15BbWU4MDQ1MDU5OTEx._V1_SX300.jpg,106 min,8.0
66d7add6c6dc28fe94973e63,tt0070511,1973,Papillon,"['Biography', 'Crime', 'Drama']","['Steve McQueen', 'Dustin Hoffman', 'Victor Jory']",['Franklin J. Schaffner'],"A semi-fictional account of Henri Charrière's time in the penal system in French Guyana - some of it spent on infamous Devil's Island - is presented. It's the early 1930s. Charrière - nicknamed Papillon because of his butterfly tattoo - and Louis Dega are two among many who have been convicted in the French judicial system, they now being transferred to French Guyana where they will serve their time, never to return to France even if they are ever released. A safe-cracker by criminal profession, Papillon is serving a life sentence for murdering a pimp, a crime for which he adamantly states he was framed. Dega is a wealthy counterfeiter, who expects his well-to-do wife eventually to get him released. At Papillon's initiative, the duo enters into a business arrangement: Papillon will provide protection for Dega, who, in turn, will finance Papillon's escape attempt. As the two men spend more time together than either had expected, their burgeoning friendship ends up being an important factor altering their original plans, needed as they work with and against others who are trying to achieve their own goals, sometime conflicting with those of Papillon and Dega.",19 Dec 1973,72%,https://m.media-amazon.com/images/M/MV5BZGRjZjQ0NzAtYmZlNS00Zjc1LTk1YWItMDY5YzQxMzA4MTAzXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,151 min,8.0
66d7add7c6dc28fe94973e65,tt0072890,1975,Dog Day Afternoon,"['Biography', 'Crime', 'Drama']","['Al Pacino', 'John Cazale', 'Penelope Allen']",['Sidney Lumet'],"Based upon a real-life incident which occurred in August 1972 in which a Chase Manhattan Bank branch in Gravesend, Brooklyn, New York, was held siege by Sonny, a Vietnam veteran turned bank robber determined to steal enough money ($2500) for his ""wife"" (Leon, a man; the two, were, according to an onscreen TV news report, married in a church by a priest who was defrocked shortly after, although Leon says to the police that Sal is ""married and has children"") to undergo a sex change operation. (The real life character upon whom Leon is based did, in fact, get the operation.) On a hot summer afternoon, Sonny and two cohort, Stevie and Sal, go to rob the (fictional) First Savings Bank of Brooklyn. Stevie soon gets nervous and flees. Although the bank manager and female tellers agree not to interfere with the robbery, Sonny finds there is not much to steal, as most of the cash has been picked up for the day. Sonny then gets an unexpected phone call from Captain Moretti of the NYPD, who tells him the place is surrounded by the city's entire police force. Having few options under the circumstances, Sonny nervously bargains with Moretti, demanding safe escort to the airport and a plane out of the country in return for the bank employees' safety.",25 Dec 1975,96%,https://m.media-amazon.com/images/M/MV5BODExZmE2ZWItYTIzOC00MzI1LTgyNTktMDBhNmFhY2Y4OTQ3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,125 min,8.0
66d7addcc6dc28fe94973e6f,tt0074958,1976,Network,['Drama'],"['Faye Dunaway', 'William Holden', 'Peter Finch']",['Sidney Lumet'],"In the 1970s, terrorist violence is the stuff of networks' nightly news programming and the corporate structure of the UBS Television Network is changing. Meanwhile, Howard Beale, the aging UBS news anchor, has lost his once strong ratings share and so the network fires him. Beale reacts in an unexpected way. We then see how this affects the fortunes of Beale, his coworkers (Max Schumacher and Diana Christensen), and the network.",27 Nov 1976,91%,https://m.media-amazon.com/images/M/MV5BNzY0NjU5ODUtOTAzMC00NTU5LWJkZjctYWMyOWY2MTZmOWM1XkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_SX300.jpg,121 min,8.1
66d7addec6dc28fe94973e74,tt0069293,1972,Solaris,"['Drama', 'Mystery', 'Sci-Fi']","['Natalya Bondarchuk', 'Donatas Banionis', 'Jüri Järvet']",['Andrei Tarkovsky'],"The Solaris mission has established a base on a planet that appears to host some kind of intelligence, but the details are hazy and very secret. After the mysterious demise of one of the three scientists on the base, the main character is sent out to replace him. He finds the station run-down and the two remaining scientists cold and secretive. When he also encounters his wife who has been dead for ten years, he begins to appreciate the baffling nature of the alien intelligence.",26 Sep 1972,93%,https://m.media-amazon.com/images/M/MV5BYTYyMjU4MjItYzZkNy00NmIyLTg1ZGEtYTY5ZTEyM2U2NDM2XkEyXkFqcGc@._V1_SX300.jpg,167 min,7.9
66d7ade2c6dc28fe94973e7e,tt0071853,1975,Monty Python and the Holy Grail,"['Adventure', 'Comedy', 'Fantasy']","['Graham Chapman', 'John Cleese', 'Eric Idle']","['Terry Gilliam', 'Terry Jones']","History is turned on its comic head when, in tenth-century England, King Arthur travels the countryside to find knights who will join him at the Round Table in Camelot. Gathering up the men is a tale in itself but after a bit of a party at Camelot, many decide to leave only to be stopped by God, who sends them on a quest: to find the Holy Grail. After a series of individual adventures, the knights are reunited but must face a wizard named Tim the Enchanter, killer rabbits and lessons in the use of holy hand grenades. Their quest comes to an end however when the Police intervene - just what you would expect in a Monty Python movie.",25 May 1975,96%,https://m.media-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,91 min,8.2
66d5cd6766b2f0d84bfd54d6,tt0075148,1976,Rocky,"['Drama', 'Sport']","['Sylvester Stallone', 'Talia Shire', 'Burt Young']",['John G. Avildsen'],"Rocky Balboa is a struggling boxer trying to make the big time, working as a debt collector for a pittance. When heavyweight champion Apollo Creed visits Philadelphia, his managers want to set up an exhibition match between Creed and a struggling boxer, touting the fight as a chance for a ""nobody"" to become a ""somebody"". The match is supposed to be easily won by Creed, but someone forgot to tell Rocky, who sees this as his only shot at the big time.",03 Dec 1976,92%,https://m.media-amazon.com/images/M/MV5BNTBkMjg2MjYtYTZjOS00ODQ0LTg0MDEtM2FiNmJmOGU1NGEwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,120 min,8.1
66d7adefc6dc28fe94973e9d,tt0073582,1975,Deep Red,"['Horror', 'Mystery', 'Thriller']","['David Hemmings', 'Daria Nicolodi', 'Gabriele Lavia']",['Dario Argento'],"A psychic who can read minds picks up the thoughts of a murderer in the audience and soon becomes a victim. An English pianist gets involved in solving the murders, but finds many of his avenues of inquiry cut off by new murders, and he begins to wonder how the murderer can track his movements so closely.",11 Jun 1976,93%,https://m.media-amazon.com/images/M/MV5BYTg4MjczZWMtMzAzNS00NzUwLWEwNzYtZmUzZGJjNjA1OTdiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,127 min,7.5
66df19bf21cc951426d5a538,tt0079470,1979,Monty Python's Life of Brian,['Comedy'],"['Graham Chapman', 'John Cleese', 'Michael Palin']",['Terry Jones'],"The story of Brian of Nazareth (Graham Chapman), born on the same day as Jesus of Nazareth, who takes a different path in life that leads to the same conclusion. Brian joins a political resistance movement aiming to get the Romans out of Judea. Brian scores a victory of sorts when he manages to paint political slogans on an entire wall in the city of Jerusalem. The movement is not very effective but somehow Brian becomes a prophet and gathers his own following. His fate is sealed however and he lives a very short life.",17 Aug 1979,96%,https://m.media-amazon.com/images/M/MV5BMmQ0ZWYzNWItMDExMS00NTk2LTk4YjQtZDMyMzQ1MGFjN2Q1XkEyXkFqcGdeQXVyMzQ4OTY2ODg@._V1_SX300.jpg,94 min,8.0
66d7adf6c6dc28fe94973eb0,tt0075686,1977,Annie Hall,"['Comedy', 'Romance']","['Woody Allen', 'Diane Keaton', 'Tony Roberts']",['Woody Allen'],"Alvy Singer, a forty year old twice divorced, neurotic, intellectual Jewish New York City stand-up comic, reflects on the demise of his latest relationship, to Annie Hall, an insecure, flighty, Midwestern WASP aspiring nightclub singer. Unlike his previous relationships, Alvy believed he may have worked out all the issues in his life through fifteen years of therapy to make this relationship with Annie last, among those issues being not wanting to date any woman that would want to date him, and thus subconsciously pushing those women away. Alvy not only reviews the many ups and many downs of their relationship, but also reviews the many facets of his makeup that led to him starting to date Annie. Those facets include growing up next to Coney Island in Brooklyn, being attracted to the opposite sex for as long as he can remember, and enduring years of Jewish guilt with his constantly arguing parents.",20 Apr 1977,97%,https://m.media-amazon.com/images/M/MV5BZDg1OGQ4YzgtM2Y2NS00NjA3LWFjYTctMDRlMDI3NWE1OTUyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,93 min,8.0
66d5cdd266b2f0d84bfd54f9,tt0070047,1973,The Exorcist,['Horror'],"['Ellen Burstyn', 'Max von Sydow', 'Linda Blair']",['William Friedkin'],"A visiting actress in Washington, D.C., notices dramatic and dangerous changes in the behavior and physical make-up of her 12-year-old daughter. Meanwhile, a young priest at nearby Georgetown University begins to doubt his faith while dealing with his mother's terminal sickness. And, book-ending the story, a frail, elderly priest recognizes the necessity for a show-down with an old demonic enemy.",26 Dec 1973,78%,https://m.media-amazon.com/images/M/MV5BYWFlZGY2NDktY2ZjOS00ZWNkLTg0ZDAtZDY4MTM1ODU4ZjljXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,122 min,8.1
66d7ae02c6dc28fe94973ec4,tt0079522,1979,Manhattan,"['Comedy', 'Drama', 'Romance']","['Woody Allen', 'Diane Keaton', 'Mariel Hemingway']",['Woody Allen'],"Forty-two year old Isaac Davis has a romanticized view of his hometown, New York City, most specifically Manhattan, as channeled through the lead character in the first book he is writing, despite his own Manhattan-based life being more of a tragicomedy. He has just quit his job as a hack writer for a bad television comedy, he, beyond the ten second rush of endorphins during the actual act of quitting, now regretting the decision, especially as he isn't sure he can live off his book writing career. He is paying two alimonies, his second ex-wife, Jill Davis, a lesbian, who is writing her own tell-all book of their acrimonious split. The one somewhat positive aspect of his life is that he is dating a young woman named Tracy, although she is only seventeen and still in high school. Largely because of their differences a big part of which is due to their ages, he does not see a long term future with her. His life has the potential to be even more tragicomical when he meets journalist Mary Wilkie, the mistress of his best friend, college professor Yale Pollack. Although Isaac's first impression of Mary is that she is a pretentious intellectual, he falls for her. They do become friends with the potential of becoming more than just friends as she knows that being the ""other woman"" in Yale's life is not a long term role that she wants. An Isaac/Mary coupling may complicate matters even more with Yale being mutually in their lives. Regardless, Isaac may be able to rationalize events after they happen, no matter what those events are.",25 Apr 1979,94%,https://m.media-amazon.com/images/M/MV5BZGE2NjI5MjAtODQwYy00OGJkLWJiZTEtMTU0NzVlMTkzNjFjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,96 min,7.8
66df19c521cc951426d5a539,tt0067140,1971,"Duck, You Sucker!","['Drama', 'War', 'Western']","['Rod Steiger', 'James Coburn', 'Romolo Valli']",['Sergio Leone'],"Packed with sticks of dynamite, Irish rebel and explosives expert John H. Mallory finds himself in Revolution-torn 1913 Mexico, on the run from the British government. Riding a dusty, V-twin Indian motorcycle, John crosses paths with short-fused Mexican bandit Juan Miranda and his gun-toting family of outlaws, and before long, his expertise in explosives becomes evident. Now, bent on putting Mallory's skills to good use, devious Juan forms an uneasy partnership with John to rob the impregnable Mesa Verde National Bank. Instead, what seemed like an unmissable opportunity to get rich becomes a trap, enmeshing the unlikely duo in the Revolution, having no other choice but to fight together with the troops of Pancho Villa and Emiliano Zapata against the evil Colonel Günther Reza. Can John's dynamite get them out of the tight spot?",07 Jul 1972,92%,https://m.media-amazon.com/images/M/MV5BZGZmNTNjYzAtNmI2ZC00YzNlLTkyYWEtNmRkMWFjNjA2MTI0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,138 min,7.6
66d7ae17c6dc28fe94973eec,tt0074119,1976,All the President's Men,"['Drama', 'History', 'Thriller']","['Dustin Hoffman', 'Robert Redford', 'Jack Warden']",['Alan J. Pakula'],"In the run-up to the 1972 elections, Washington Post reporter Bob Woodward covers what seems to be a minor break-in at the Democratic Party National headquarters. He is surprised to find top lawyers already on the defense case, and the discovery of names and addresses of White House fund organizers on the accused further arouses his suspicions. The editor of the Post is prepared to run with the story and assigns Woodward and Carl Bernstein to it. They find the trail leading higher and higher in the White House.",09 Apr 1976,94%,https://m.media-amazon.com/images/M/MV5BOWI2YWQxM2MtY2U4Yi00YjgzLTgwNzktN2ExNTgzNTIzMmUzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,138 min,7.9
66d7ae15c6dc28fe94973ee8,tt0080120,1979,The Warriors,"['Action', 'Crime', 'Thriller']","['Michael Beck', 'James Remar', 'Dorsey Wright']",['Walter Hill'],"Cyrus, the leader of the most powerful gang in New York City, the Gramercy Riffs, calls a midnight summit for all the area gangs, with all asked to send nine unarmed representatives for the conclave. A gang called The Warriors are blamed for killing Cyrus as he gives his speech. They now have to cross the territory of rivals in order to get to their own 'hood. The Warriors slowly cross the dangerous Bronx and Manhattan territories, narrowly escaping police and other gangs every step of the way.",09 Feb 1979,88%,https://m.media-amazon.com/images/M/MV5BYTU2MWRiMTMtYzAzZi00NGYzLTlkMDEtNWQ3MzZlNTJlNzZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,93 min,7.5
