title,release_date
Innerspace,1987-07-01
Nineteen Eighty-Four,1984-11-09
Kickboxer,1989-04-20
Conan the Barbarian,1982-04-02
Fast Times at Ridgemont High,1982-08-13
Lock Up,1989-08-04
Scrooged,1988-11-22
Uncle Buck,1989-08-16
Sixteen Candles,1984-05-04
All Dogs Go to Heaven,1989-11-17
Romancing the Stone,1984-03-30
The 'Burbs,1989-02-17
Pretty in Pink,1986-02-28
Superman II,1980-12-12
Oliver & Company,1988-11-18
Scanners,1981-01-14
The Fog,1980-02-07
Road House,1989-05-19
An American Tail,1986-11-21
Child's Play,1988-11-09
48 Hrs.,1982-12-07
Commando,1985-10-03
Police Academy,1984-03-22
Footloose,1984-02-17
A Nightmare on Elm Street 3: Dream Warriors,1987-02-27
Tron,1982-07-09
Rambo: First Blood Part II,1985-05-21
Pet Sematary,1989-04-21
Cocoon,1985-06-21
Caddyshack,1980-07-25
Short Circuit,1986-05-09
The Party,1980-12-17
Risky Business,1983-08-05
Black Rain,1989-09-22
Star Trek III: The Search for Spock,1984-06-01
Ghostbusters II,1989-06-16
Halloween II,1981-10-30
The Witches of Eastwick,1987-06-12
The Running Man,1987-11-13
Weird Science,1985-08-01
For Your Eyes Only,1981-06-24
The Living Daylights,1987-06-29
Beverly Hills Cop II,1987-05-18
The Money Pit,1986-03-26
Flashdance,1983-04-14
Tango & Cash,1989-12-22
The Black Cauldron,1985-07-24
Crocodile Dundee,1986-09-26
Hellbound: Hellraiser II,1988-12-23
Over the Top,1987-02-13
Licence to Kill,1989-06-13
Friday the 13th,1980-05-09
Turner & Hooch,1989-07-28
Octopussy,1983-06-05
Cannibal Holocaust,1980-02-07
"Honey, I Shrunk the Kids",1989-06-23
The Karate Kid Part II,1986-06-18
Look Who's Talking,1989-10-12
Splash,1984-03-09
A View to a Kill,1985-05-24
The Jewel of the Nile,1985-08-01
Red Heat,1988-06-17
Mad Max Beyond Thunderdome,1985-06-29
Legend,1985-08-28
Rambo III,1988-05-24
Dune,1984-12-14
Teen Wolf,1985-08-23
Friday the 13th Part VI: Jason Lives,1986-08-01
Halloween 4: The Return of Michael Myers,1988-10-21
The Blue Lagoon,1980-07-05
Friday the 13th Part 2,1981-05-01
Cocktail,1988-07-29
Cobra,1986-01-01
Return,1985-10-31
Conan the Destroyer,1984-06-29
Airplane II: The Sequel,1982-12-10
Friday the 13th: The Final Chapter,1984-04-13
Never Say Never Again,1983-10-07
Police Academy 2: Their First Assignment,1985-03-28
Twins,1988-12-09
The Golden Child,1986-12-12
The Karate Kid Part III,1989-06-16
A Nightmare on Elm Street 4: The Dream Master,1988-08-19
Friday the 13th Part III,1982-08-13
Crocodile Dundee II,1988-05-19
Police Academy 3: Back in Training,1986-03-20
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985-11-01
Star Trek V: The Final Frontier,1989-06-09
Superman III,1983-06-17
Police Academy 4: Citizens on Patrol,1987-04-02
Friday the 13th Part VII: The New Blood,1988-05-13
A Nightmare on Elm Street: The Dream Child,1989-08-11
Halloween 5: The Revenge of Michael Myers,1989-10-12
Friday the 13th: A New Beginning,1985-03-22
Halloween III: Season of the Witch,1982-10-22
Friday the 13th Part VIII: Jason Takes Manhattan,1989-07-28
Superman IV: The Quest for Peace,1987-07-24
Jaws 3-D,1983-07-22
Jaws: The Revenge,1987-07-17
